,season,variety,rpin_block,day,date,day_of_year,diameter,t_id,b_id,s_id
648681,22,gala,R1468 E2,32,2022-02-01,32,57.96,21.0,5,7
648682,22,gala,R1468 E2,32,2022-02-01,32,56.98,21.0,5,7
648683,22,gala,R1468 E2,32,2022-02-01,32,57.59,21.0,5,7
648684,22,gala,R1468 E2,32,2022-02-01,32,61.44,21.0,5,7
648685,22,gala,R1468 E2,32,2022-02-01,32,61.73,21.0,5,7
648686,22,gala,R1468 E2,32,2022-02-01,32,51.13,21.0,5,7
648687,22,gala,R1468 E2,32,2022-02-01,32,52.01,21.0,5,7
648688,22,gala,R1468 E2,32,2022-02-01,32,57.4,21.0,5,7
648689,22,gala,R1468 E2,32,2022-02-01,32,57.77,21.0,5,7
648690,22,gala,R1468 E2,32,2022-02-01,32,52.38,21.0,5,7
648691,22,gala,R1468 E2,32,2022-02-01,32,56.16,21.0,5,7
648692,22,gala,R1468 E2,32,2022-02-01,32,54.9,21.0,5,7
648693,22,gala,R1468 E2,32,2022-02-01,32,54.16,21.0,5,7
648694,22,gala,R1468 E2,32,2022-02-01,32,51.03,21.0,5,7
648695,22,gala,R1468 E2,32,2022-02-01,32,58.54,21.0,5,7
648696,22,gala,R1468 E2,32,2022-02-01,32,57.18,21.0,5,7
648697,22,gala,R1468 E2,32,2022-02-01,32,57.33,21.0,5,7
648698,22,gala,R1468 E2,32,2022-02-01,32,66.41,21.0,5,7
648699,22,gala,R1468 E2,32,2022-02-01,32,60.72,21.0,5,7
648700,22,gala,R1468 E2,32,2022-02-01,32,60.99,21.0,5,7
648701,22,gala,R1468 E2,32,2022-02-01,32,64.45,21.0,5,7
648702,22,gala,R1468 E2,32,2022-02-01,32,59.88,21.0,5,7
648703,22,gala,R1468 E2,32,2022-02-01,32,56.28,21.0,5,7
648704,22,gala,R1468 E2,32,2022-02-01,32,59.59,21.0,5,7
648705,22,gala,R1468 E2,32,2022-02-01,32,55.02,21.0,5,7
648706,22,gala,R1468 E2,32,2022-02-01,32,51.9,21.0,5,7
648707,22,gala,R1468 E2,32,2022-02-01,32,57.96,21.0,5,7
648708,22,gala,R1468 E2,32,2022-02-01,32,54.3,21.0,5,7
648709,22,gala,R1468 E2,32,2022-02-01,32,57.47,21.0,5,7
648710,22,gala,R1468 E2,32,2022-02-01,32,58.16,21.0,5,7
648711,22,gala,R1468 E2,32,2022-02-01,32,57.43,21.0,5,7
648712,22,gala,R1468 E2,32,2022-02-01,32,61.83,21.0,5,7
648713,22,gala,R1468 E2,32,2022-02-01,32,52.4,21.0,5,7
648714,22,gala,R1468 E2,32,2022-02-01,32,57.34,21.0,5,7
648715,22,gala,R1468 E2,32,2022-02-01,32,56.18,21.0,5,7
648716,22,gala,R1468 E2,32,2022-02-01,32,56.61,21.0,5,7
648717,22,gala,R1468 E2,32,2022-02-01,32,52.73,21.0,5,7
648718,22,gala,R1468 E2,32,2022-02-01,32,60.81,21.0,5,7
648719,22,gala,R1468 E2,32,2022-02-01,32,59.27,21.0,5,7
648720,22,gala,R1468 E2,32,2022-02-01,32,58.62,21.0,5,7
648721,22,gala,R1468 E2,32,2022-02-01,32,53.91,21.0,5,7
648722,22,gala,R1468 E2,32,2022-02-01,32,52.04,21.0,5,7
648723,22,gala,R1468 E2,32,2022-02-01,32,58.67,21.0,5,7
648724,22,gala,R1468 E2,32,2022-02-01,32,52.02,21.0,5,7
648725,22,gala,R1468 E2,32,2022-02-01,32,61.22,21.0,5,7
648726,22,gala,R1468 E2,32,2022-02-01,32,60.55,21.0,5,7
648727,22,gala,R1468 E2,32,2022-02-01,32,60.35,21.0,5,7
648728,22,gala,R1468 E2,32,2022-02-01,32,64.18,21.0,5,7
648729,22,gala,R1468 E2,32,2022-02-01,32,66.26,21.0,5,7
648730,22,gala,R1468 E2,32,2022-02-01,32,63.18,21.0,5,7
648731,22,gala,R1468 E2,32,2022-02-01,32,60.71,22.0,5,7
